candidate_id;name;former_names;name_key;name_key_compact;name_key_without_prefix;eni;imo;year_built;length_m;width_m;passengers;operator;home_port;flag;flag_text;article_url;source_revision_id
CAN-ED0658926F28;Delta Queen;Delta Queen YHF 7, Delta Queen YFB 56;delta queen;deltaqueen;delta queen;;;1927;86.9;17.7;174;Majestic America Line;;;Vereinigte Staaten;https://de.wikipedia.org/wiki/Delta_Queen;268617530
CAN-A038A3A0E218;Demyan Bednyy;;demyan bednyy;demyanbednyy;demyan bednyy;;;1985;90.4;15.0;160;LenaTurFlot;Schatai;;Sowjetunion → Russland;https://de.wikipedia.org/wiki/Demyan_Bednyy;268617530
CAN-8162CFD30488;Denis Davydov;;denis davydov;denisdavydov;denis davydov;;;1959;95.8;14.3;;;Perm;;Sowjetunion → Russland;;268617530
CAN-C2AA5ABF6CA3;Der kleine Prinz;;der kleine prinz;derkleineprinz;der kleine prinz;04803150;;1990;93.3;11.2;90;Quality Tours ApS;Bremen;DE;Deutschland;;268617530
CAN-1F744515FAA0;Diana;;diana;diana;diana;;8634120;1931;31.66;6.85;;Strömma Kanalbolaget;Göteborg;SE;Schweden;https://de.wikipedia.org/wiki/Diana_(Schiff,_1931);268617530
CAN-516D1932C46A;Diana;;diana;diana;diana;02325128;;1964;78.63;7.75;78;Trans River Line;Rotterdam;NL;Niederlande;;268617530
CAN-8973ACF0031E;Dmitri Poscharski;;dmitri poscharski;dmitriposcharski;dmitri poscharski;;;1957;95.8;14.3;140;Zesar Travel;Nischni Nowgorod;;Sowjetunion → Russland;;268617530
CAN-C8C97CB0BFEA;Dnieper Star;Marshal Rybalko|Zirka Dnipra;dnieper star;dnieperstar;dnieper star;;8707692;1988;130.0;17.0;250;Chernova Ruta;Cherson;UA;Sowjetunion → Ukraine;;268617530
CAN-5EC9DDE521AA;Dnipro;Dnepr;dnipro;dnipro;dnipro;42000004;;1970;105.9;16.1;140;UDP;Ismajil;UA;Sowjetunion → Ukraine;https://de.wikipedia.org/wiki/Dnipro_(Schiff);268617530
CAN-2EE6CD5ABE57;Dong Fang Zhi Xing;;dong fang zhi xing;dongfangzhixing;dong fang zhi xing;;;1994;76.5;13.0;534;;;;China Volksrepublik;https://de.wikipedia.org/wiki/Dong_Fang_Zhi_Xing;268617530
CAN-C5E11D949E74;Douce France;;douce france;doucefrance;douce france;01822845;;1996;110.0;10.14;160;CroisiEurope;Straßburg;FR;Frankreich;;268617530
CAN-973AB66A9D4C;Douro Cruiser;;douro cruiser;dourocruiser;douro cruiser;;9329344;2005;78.11;11.4;130;Douroazul;Portimão;PT;Portugal;https://de.wikipedia.org/wiki/Algarve-Cruiser-Klasse;268617530
CAN-87B6A4440DF7;Douro Prince;;douro prince;douroprince;douro prince;;;1997;57.0;8.85;48;Douroazul;Portimão;PT;Portugal;;268617530
CAN-D512C957A041;Douro Princess;;douro princess;douroprincess;douro princess;;;1999;68.0;8.65;80;Douroazul;Portimão;PT;Portugal;;268617530
CAN-D33BAA9DC1BE;Douro Queen;;douro queen;douroqueen;douro queen;;9329356;2005;78.11;11.4;130;Douroazul;Portimão;PT;Portugal;https://de.wikipedia.org/wiki/Algarve-Cruiser-Klasse;268617530
CAN-3B850FF0C18C;Douro Spirit;;douro spirit;dourospirit;douro spirit;;;2011;77.5;11.3;128;Douroazul;Portimão;PT;Portugal;;268617530
CAN-16AF80AA34EF;Dunay;;dunay;dunay;dunay;;;1960;85.8;14.06;212;;Ismajil;UA;Sowjetunion → Ukraine;;268617530
CAN-2E5214567C7D;Dutch Grace;Amadeus Classic;dutch grace;dutchgrace;dutch grace;04801620;;2001;110.0;11.4;146;Dutch Cruise Line;;NL;Niederlande;;268617530
CAN-66D46FE62BE1;Dutch Melody;River Melody;dutch melody;dutchmelody;dutch melody;07001718;;1999;110.0;11.02;145;Dutch Cruise Line;;NL;Niederlande;;268617530
CAN-F0581C545D1E;Dutch Opera;Amadeus II|Amadeus Rhapsody, Rhapsody, Amadeus Rhapsody;dutch opera;dutchopera;dutch opera;08848002;;1998;110.0;11.4;142;Dutch Cruise Line;Maastricht;NL;Niederlande;;268617530
CAN-2B2479C63DFC;Dve Stolitsy;K. E. Tsiolkovskiy|Anatoliy Papanov;dve stolitsy;dvestolitsy;dve stolitsy;;;1961;95.8;14.3;140;Voyazh;Rostow am Don;;Sowjetunion → Russland;https://de.wikipedia.org/wiki/Dve_Stolitsy_(Schiff);268617530
CAN-74CD646C13CB;Edelweiss;;edelweiss;edelweiss;edelweiss;07001964;;2013;110.0;11.45;180;Scylla (Thurgau Travel);Basel;CH;Schweiz;;268617530
CAN-8D5D7B0771CD;Egilkia;;egilkia;egilkia;egilkia;;9151072;1997;72.0;14.0;140;;;;Agypten;;268617530
CAN-AF3B8A8AC4D0;Elbe Princesse;;elbe princesse;elbeprincesse;elbe princesse;01840744;;2016;95.0;10.5;80;CroisiEurope;Straßburg;FR;Frankreich;https://de.wikipedia.org/wiki/Elbe_Princesse;268617530
CAN-D90EAC6D7D02;Elbe Princesse II;;elbe princesse ii;elbeprincesseii;elbe princesse ii;20000001;;2017;101.0;10.5;86;CroisiEurope;Grevenmacher;LU;Luxemburg;;268617530
CAN-F8DDA902734C;Elegant Lady;;elegant lady;elegantlady;elegant lady;08923003;;2003;110.0;11.4;128;Dunav Tours;Russe;BG;Niederlande → Bulgarien;;268617530
CAN-572D13741AE9;Emerald Belle;;emerald belle;emeraldbelle;emerald belle;;;2015;135.0;11.45;182;Emerald Waterways;Valletta;MT;Malta;;268617530
